Codigo Articulo,cuadrante,clase_abc,nivel_servicio,stock_actual,rop,demanda_esperada_lt,ss_empirico,mu_incondicional,mu_sba,adi,cv2,n_pos,n_semanas_historia,weeks_history,cajas_a_pedir,unidades_a_pedir,cbm_total_pedido,inversion_fob_usd,costo_final,cantidad_por_caja,CBMM,estado,requiere_pedido
MASS1648,erratic,A,0.95,16.0,152.12089713489263,90.88235294117646,61.23854419371618,6.0588235294117645,6.0588235294117645,1.178,1.7094,101,119,117.85714285714286,11,330,0.9705959999999999,610.5,1.85,30.0,0.088236,REORDENAR,True
MASS0204,lumpy,A,0.95,0.0,187.6,76.90140845070422,110.69859154929577,5.126760563380282,5.126760563380282,4.581,1.0818,31,142,141.14285714285714,1,150,0.05,127.5,0.85,150.0,0.05,REORDENAR,True
MASS0881,lumpy,A,0.95,80.0,138.79999999999998,88.26050420168066,50.53949579831932,5.884033613445378,5.884033613445378,1.725,1.1125,69,119,117.85714285714286,1,144,0.141588,57.6,0.4,144.0,0.141588,REORDENAR,True
MASS1979,lumpy,A,0.95,0.0,213.00000000000006,141.36986301369865,71.63013698630141,9.424657534246576,9.424657534246576,1.78,2.143,41,73,71.85714285714286,4,160,0.24,920.0,5.75,40.0,0.06,REORDENAR,True
MASS0239,lumpy,A,0.95,4.0,157.39999999999998,77.19718309859155,80.20281690140843,5.146478873239436,5.146478873239436,1.775,1.9779,80,142,141.42857142857142,2,120,0.15246,192.0,1.6,60.0,0.07623,REORDENAR,True
MASS0519,lumpy,A,0.95,0.0,124.20000000000005,78.51063829787235,45.68936170212769,5.23404255319149,5.23404255319149,1.831,0.6403,77,141,140.28571428571428,2,80,0.117936,136.0,1.7,40.0,0.058968,REORDENAR,True
MASS2215,intermittent,A,0.95,0.0,320.6,236.91231273660338,83.68768726339661,19.96794871794872,15.794154182440225,1.95,0.418,20,39,38.714285714285715,3,300,0.135,1695.0,5.65,100.0,0.045,REORDENAR,True
MASS1742,lumpy,A,0.95,172.0,137.70000000000002,96.72413793103448,40.97586206896554,6.448275862068965,6.448275862068965,3.742,0.8041,31,116,115.28571428571429,0,0,0.0,0.0,0.9,50.0,0.05,OK,False
MASS1071,lumpy,A,0.95,159.0,180.2,74.0281690140845,106.17183098591549,4.9352112676056334,4.9352112676056334,2.582,1.1793,55,142,141.14285714285714,1,100,0.101088,355.0,3.55,100.0,0.101088,REORDENAR,True
MASS1011,lumpy,A,0.95,1.0,156.75,75.18485915492958,81.56514084507043,5.012323943661972,5.012323943661972,1.732,1.2556,82,142,141.14285714285714,3,72,0.23191875,648.0,9.0,24.0,0.07730625,REORDENAR,True
