sku,nombre,total_unidades_vendidas,total_transacciones,primera_venta,ultima_venta,excluido_intencional
MASS0173,CONVERTIDOR MINI HDMI A VGA,73.0,33,2025-01-07 08:06:00,2026-08-17 07:42:00,False
MASS0982,HUMIDIFICADOR COLOR FULL RGB SPRAY RECARGABLE BLANCO,73.0,27,2024-06-03 08:49:00,2026-08-29 11:02:00,False
MASS1281,TABLA PARA PICAR 4 EN 1,73.0,44,2024-05-10 08:45:00,2026-05-31 15:14:00,False
MASS0635,CAMARA VISUAL EAR 3 EN 1,73.0,33,2024-07-13 10:19:00,2026-08-13 09:41:00,False
MASS0770,CINTA KINESIOLOGICA 5CM X 5M PEGA ALEMANA ROJO,72.0,8,2024-02-09 15:52:00,2024-11-13 10:53:00,False
MASS1502,Maquina De Afeitar LT-808 Transparente Color Azul,71.0,38,2024-01-24 14:18:00,2025-06-19 09:28:00,False
MASS1143,MORDAZA SEXO ORAL KJZB001 ROJA,69.0,23,2024-06-03 13:53:00,2026-08-14 10:44:00,False
MASS0961,CREMA DEPILADORA,67.0,61,2024-08-08 11:14:00,2025-12-05 13:03:00,False
MASS0560,TESTER DT9205B,67.0,24,2024-04-26 10:18:00,2026-07-27 09:16:00,False
MASS0969,CEPILLO LIMPIADOR DE AUDIFONO,66.0,34,2025-01-07 12:12:00,2026-08-28 09:11:00,False
MASS1162,RABBIT PUNTO G 10 VELOCIDADES CON PUYAS YCA45010 MORADO,65.0,42,2024-12-12 15:24:00,2026-07-17 17:11:00,False
MASS0361,PLUG ANAL SET 3 UNIDADES ROJO METALPLUGSET,58.0,39,2024-08-26 08:56:00,2025-08-25 13:47:00,False
MASS1199,PLUG ANAL SET 3 UNIDADES FUCSIA METALPLUGSET,58.0,43,2024-12-04 13:22:00,2026-02-17 11:58:00,False
MASS0971,CONSERVADOR PARA HIERBAS,57.0,24,2024-06-03 08:49:00,2026-08-17 18:44:00,False
MASS1103,PIZARRA LED NEGRA,55.0,6,2024-01-06 09:08:00,2024-02-28 07:44:00,False
MASS1128,CAMARA IP INTELIGENTE DE SEGURIDAD,54.0,2,2024-02-10 13:21:00,2024-02-26 12:33:00,False
MASS1204,SET DE BANDAS DE EJERCICIOS GRISES,52.0,10,2024-02-09 15:52:00,2024-05-18 12:13:00,False
MASS1479,VARITA MAGICA 10 VELOCIDADES AV ROSA,52.0,31,2024-10-04 21:03:00,2026-05-12 09:52:00,False
MASS0262,LAMPARA LED SUPERFICIAL CUADRADO 6W,52.0,11,2025-01-22 08:17:00,2025-11-18 12:14:00,False
MASS1313,PLANCHA A VAPOR 800W 120ML,52.0,15,2024-03-20 07:30:00,2025-01-04 09:24:00,False
MASS1003,LIMPIADOR DE PANTALLA PORTABLE,52.0,26,2024-11-26 14:22:00,2026-08-12 14:14:00,False
MASS0257,LAMPARA ANTI MOSQUITO,51.0,17,2024-03-20 07:30:00,2025-01-03 09:30:00,False
MASS0212,EXTENSION FORRO DE PENE CON TEXTURA FLEXIBLE,50.0,1,2024-02-09 15:37:00,2024-02-09 15:37:00,False
MASS0904,MASTURBADOR Y ESTIMULADOR ROTATIVO 360 QRBC01,49.0,15,2024-02-21 14:34:00,2025-12-22 13:35:00,False
MASS0065,"""BASE TV INCLINACION 15-42"""" HT-001""",48.0,15,2024-07-13 10:01:00,2026-02-17 13:22:00,False
MASS0586,VARITA MAGICA 10 VELOCIDADES AV MORADO,48.0,32,2025-01-21 13:01:00,2026-07-29 07:45:00,False
MASS0588,VARITA MAGICA 10 VELOCIDADES CARGA USB HXMS18 ROSADO,47.0,16,2024-06-03 13:53:00,2026-05-09 11:35:00,False
MASS1207,SOPORTE DE ESPALDA,42.0,14,2024-03-20 07:30:00,2026-08-22 21:27:00,False
MASS1312,MIMI MAQUINA PARA HACER DONA 6 PCS,41.0,11,2024-03-20 08:52:00,2026-06-23 09:43:00,False
MASS1376,MESA RECTANGULAR PLEGABLE 1.8MTS,40.0,30,2024-01-23 12:44:00,2025-03-19 13:18:00,False
MASS0963,CREMA BLANQUEADORA,39.0,36,2025-02-26 13:26:00,2025-08-04 07:44:00,False
MASS1213,LIMPIADOR LAVADOR DE VASO AUTOMATICO A PRESION,39.0,23,2024-08-23 14:21:00,2026-07-08 09:22:00,False
MASS1105,PIZARRA LED ROJO,38.0,4,2024-01-03 14:32:00,2024-02-26 12:33:00,False
MASS1073,ORGANIZADOR DE ESPECIAS COCINA 40 CM 3 NIVELES (KR-15-4),36.0,24,2024-05-11 08:58:00,2026-04-07 12:51:00,False
MASS1468,VIBRADOR ESTIMULADOR PARA PENE MASAJEADOR BODY-SAFE,36.0,8,2024-02-01 08:17:00,2026-08-05 18:17:00,False
MASS2705,ROLLO DE ESPUMA 3D AUTOADHESIVA JQ-3472-2Y4 40 CM X 3M DE 3MM,36.0,3,2026-06-30 12:36:00,2026-08-10 11:01:00,False
MASS0098,CABLE HDMI BOLSA 1.5 MTS,36.0,12,2024-10-15 12:31:00,2026-05-11 17:09:00,False
MASS0847,ROSA VIBRADORA VAGINA SUCKER MORADO,35.0,1,2024-02-09 15:45:00,2024-02-09 15:45:00,False
MASS0254,"KIT DE FETICHE PARA MUJER, ESPOSAS DE BONDAJE ROJO",34.0,11,2024-02-01 08:17:00,2025-03-13 13:50:00,False
MASS1209,HUMIDIFICADOR T3 600ML BLANCO,33.0,8,2024-08-08 11:14:00,2025-07-05 11:13:00,False
MASS0725,SOPORTE DE CELULAR PARA CARRO 360,30.0,14,2024-06-15 17:19:00,2025-12-02 11:31:00,False
MASS0403,VIBRADOR RABBIT PUNTO G VERDE RABBITB001,30.0,4,2024-02-29 08:18:00,2025-04-09 08:36:00,False
MASS0804,BALA COLORES PASTELES ROJO YCAS4301,30.0,2,2024-02-01 08:17:00,2024-02-09 15:51:00,False
MASS0844,ADAPTADOR DISCO DURO SATA 9.5 MM PARA LAPTOP CADY,30.0,13,2024-10-14 10:04:00,2026-08-22 18:31:00,False
MASS0337,PANTIES VIBRADOR CON CONTROL REMOTO A DISTANCIA ASLCD001 ROSADO,29.0,10,2024-02-01 08:17:00,2026-08-27 18:18:00,False
MASS1114,TERMO NI O MEDUSA,29.0,7,2024-04-15 13:19:00,2025-10-24 08:08:00,False
MASS1208,HUMIDIFICADOR T3 600ML VERDE,29.0,12,2024-08-05 09:35:00,2026-08-25 07:42:00,False
MASS1110,TERMO NI O ANCLA,29.0,12,2024-06-01 09:57:00,2025-12-18 15:21:00,False
MASS1262,TAZA DE CERAMICA CAFE TE CALENTADORA CONEXION USB BLANCO,28.0,18,2024-03-20 07:30:00,2025-07-16 08:21:00,False
MASS0338,PANTIES VIBRADOR CON CONTROL REMOTO A DISTANCIA ASLCD001 MORADO,28.0,11,2024-02-01 08:17:00,2026-06-16 11:09:00,False
MASS0100,CABLE HDMI BOLSA 3MTS,27.0,12,2024-10-15 12:31:00,2025-08-18 11:15:00,False
MASS0972,MOUSE PAD DE CUERO AZUL OSCURO,27.0,13,2024-05-10 08:36:00,2025-03-11 14:32:00,False
MASS1116,TERMO NI O GLOBO AEROSTATICO,27.0,5,2024-04-15 13:19:00,2025-01-03 09:30:00,False
MASS1572,VARITA MAGICA 10 VELOCIDADES CARGA USB HXMS18 NEGRO,26.0,4,2024-03-15 12:18:00,2025-01-22 06:42:00,False
MASS0082,BOMBILLO INTELIGENTE YHW WIFI BLUETOOH 7W,26.0,6,2024-12-07 12:33:00,2025-03-04 09:23:00,False
MASS1454,IMPRESORA TERMICA USB ETIQUETAS AUTOADHESIVAS,26.0,20,2024-04-26 10:18:00,2026-07-22 13:07:00,False
MASS0344,PEGA EN BARRA ELMERS ALL PURPOSE,26.0,24,2025-03-17 09:24:00,2026-06-15 10:24:00,False
MASS1576,BOLSAS SEXSHOP,25.0,5,2024-03-23 08:44:00,2025-06-30 13:17:00,False
MASS0871,EXTINTOR DE ESPUME DESECHABLE 1000ML,25.0,11,2024-03-20 13:45:00,2026-06-12 13:02:00,False
MASS1345,SILLA DE PC MODELO 2001,24.0,6,2024-02-08 10:34:00,2024-03-15 09:11:00,False
MASS0970,SALERO Y PIMENTERO DE ACERO INOXIDABLE MANUAL,24.0,12,2024-10-04 12:16:00,2025-08-15 09:08:00,False
MASS0741,VR BOX,24.0,13,2024-10-04 17:49:00,2025-08-13 11:34:00,False
MASS0995,ABRE LATA PORTATIL CON ABRE TAPA,23.0,8,2024-10-04 12:16:00,2025-07-04 14:58:00,False
MASS1048,PLUG ANAL COLA CONEJITA MORADO CLARO ANALBALL001,23.0,8,2024-02-01 08:17:00,2025-08-18 03:58:00,False
MASS0272,LUCES NAVIDAD LLUVIA 100 PC,22.0,6,2024-10-24 11:53:00,2025-10-27 07:01:00,False
MASS1346,ESCRITORIO GAMER,22.0,17,2024-02-15 15:36:00,2025-11-12 13:53:00,False
MASS1112,TERMO NI O CABALLITO DE MAR,21.0,4,2024-04-15 13:19:00,2024-07-16 15:22:00,False
MASS0712,CINTA LED MULTICOLOR 2M,21.0,13,2025-01-22 08:17:00,2025-05-06 13:20:00,False
MASS1072,ORGANIZADOR DE ESPECIAS COCINA 40 CM 2 NIVELES (KR-15-3),21.0,16,2024-11-13 10:10:00,2026-07-16 12:56:00,False
MASS0375,PLUG ANAL TALLA L AZUL OSCURO,20.0,10,2024-06-13 15:57:00,2025-12-20 10:47:00,False
MASS1232,KIT TECLADO Y MOUSE ALAMBRICO PHILLIPS,20.0,6,2024-07-05 10:32:00,2024-09-03 12:43:00,False
MASS1279,CREMA ANTIARRUGA ACIDO HIALURONICO,20.0,9,2024-03-15 09:11:00,2025-01-03 09:30:00,False
MASS0064,"""BASE TV INCLINACION 32-55"""" HT-002""",20.0,2,2024-03-07 11:35:00,2024-05-10 08:36:00,False
MASS0967,SOPORTE PARA LAVAPLATO BLANCO,20.0,13,2025-02-28 11:09:00,2026-05-04 16:32:00,False
MASS1156,INICIADOR VIBRADOR ANAL DE SILICON YCVA001 NEGRO,20.0,3,2024-02-01 08:17:00,2024-05-07 16:15:00,False
MASS1578,ROLLO DE MAQUINA FISCAL,20.0,5,2024-04-25 09:30:00,2024-11-29 09:30:00,False
MASS0828,CINTA LED 2835 RGB BLUETOOH,19.0,7,2025-01-22 08:17:00,2025-12-19 13:22:00,False
MASS0599,VIBRADOR CONSOLADOR RABBIT JUMP MORADO HQMY2026,19.0,4,2024-03-20 13:45:00,2024-11-26 07:54:00,False
MASS0617,VIDEO BALUM X2 EL PAR,18.0,8,2025-08-06 13:00:00,2026-06-18 09:48:00,False
MASS1629,ROLLO DE PUNTO DE VENTA,18.0,5,2024-03-27 09:03:00,2024-04-25 09:30:00,False
MASS0297,MEMORIA RAM LAPTOP KINGSTON DDR3 2GB 1333,18.0,14,2024-12-13 15:51:00,2026-04-21 12:19:00,False
MASS1115,TERMO NI O BALLENA,17.0,2,2024-04-15 13:19:00,2024-05-18 12:13:00,False
MASS1111,TERMO NI O SUBMARINO,17.0,6,2024-04-15 13:19:00,2026-03-16 11:12:00,False
MASS0966,SOPORTE PARA LAVAPLATO NARANJA,17.0,8,2025-02-25 13:55:00,2026-08-27 19:21:00,False
MASS0170,CONVERTIDOR EUROPEO,16.0,3,2024-12-16 17:14:00,2025-03-10 10:44:00,False
MASS1446,BATIDOR RECARGABLE AZUL,16.0,1,2024-02-09 16:12:00,2024-02-09 16:12:00,False
MASS0838,BALAS DE GEL,16.0,2,2024-11-27 14:47:00,2024-12-06 12:57:00,False
MASS0304,MEMORIA RAM PC KINGSTON DDR3 2GB 1333,15.0,10,2024-11-13 13:50:00,2026-05-29 12:28:00,False
MASS0775,VENDA ELASTICA AUTOHADESIVA NEGRO,15.0,1,2024-05-18 12:13:00,2024-05-18 12:13:00,False
MASS1109,TERMO NI O COHETE,15.0,2,2024-04-15 13:19:00,2024-05-18 12:13:00,False
MASS0748,ESPOSAS SEXUAL DE COLORES ROSADA BDSM39,14.0,2,2024-02-01 08:17:00,2024-02-29 14:24:00,False
MASS1113,TERMO NI O CANGREJO,13.0,4,2024-04-15 13:19:00,2024-09-28 07:58:00,False
MASS1261,TAZA DE CERAMICA CAFE TE CALENTADORA CONEXION USB VERDE,13.0,4,2024-03-20 07:30:00,2025-06-14 09:02:00,False
MASS1495,LAMPARA MP3 LED MAGIC,13.0,4,2024-04-12 11:58:00,2025-01-24 09:26:00,False
MASS1096,CREMA ANTIARRUGAS COLLAGEN 650GR,13.0,5,2024-03-15 09:11:00,2025-11-12 12:05:00,False
MASS1108,SET DE DADOS 1/4 Y 3/8 54 PIEZAS HYPER TOUGH,12.0,2,2024-02-10 08:38:00,2024-02-24 12:59:00,False
MASS0250,KIT CONEXION CAMARA,12.0,5,2025-02-21 08:07:00,2025-02-28 13:01:00,False
MASS1077,ORGANIZADOR DE CUCHILLO MULTIFUNCIONAL PLATEADO,12.0,10,2024-08-08 11:14:00,2026-05-11 07:41:00,False
MASS1097,CREMA ANTIARRUGAS KIWI FRUIT 650GR,12.0,5,2024-03-15 09:11:00,2025-06-13 10:11:00,False
MASS0001,ADAPTADOR DE AUDIFONO 1 A 2 PLUGS,12.0,9,2024-12-30 11:13:00,2025-07-28 09:11:00,False
MASS0107,CABLE USB A SATA 3.0,12.0,5,2024-10-21 11:26:00,2026-02-05 14:39:00,False
MASS1078,ORGANIZADOR DE CUCHILLO MULTIFUNCIONAL NEGRO,11.0,9,2025-01-22 08:17:00,2025-06-20 10:30:00,False
MASS2284,SET 3 PLUG ANAL ALARGADO MORADO,11.0,7,2025-11-25 11:19:00,2026-07-08 08:14:00,False
MASS2283,SET 3 PLUG ANAL ALARGADO ROSADO,11.0,7,2025-11-25 11:19:00,2026-08-24 18:59:00,False
MASS0121,CARGADOR DE RELOJ T500,11.0,7,2024-08-07 11:17:00,2025-06-04 08:43:00,False
MASS2687,LAMINA PISO DE VINIL HHYM3020,11.0,1,2026-08-20 10:20:00,2026-08-20 10:20:00,False
MASS1192,LUCES DE NAVIDAD 100PC,11.0,13,2024-10-22 19:07:00,2025-12-20 12:44:00,False
MASS0740,CABLE DE CELULAR IPHONE ORIGINAL USB-C 1MT,11.0,2,2024-08-14 12:03:00,2024-09-17 11:44:00,False
MASS0996,DISPENSADOR DE JABON LIQUIDO CON ESPONJA,11.0,5,2024-11-27 11:15:00,2025-05-25 14:21:00,False
MASS0990,RELOJ INTELIGENTE D20 ULTRA ROSADO,11.0,7,2024-06-03 08:49:00,2026-05-21 09:38:00,False
MASS0706,HUMIDIFICADOR COLORFUL RGB 260ML,10.0,1,2024-02-09 16:36:00,2024-02-09 16:36:00,False
MASS0187,CORREAS T500 NYLON 42MM *44MM,10.0,1,2024-12-06 13:54:00,2024-12-06 13:54:00,False
MASS0849,ROSA VIBRADORA VAGINA SUCKER NEGRA,10.0,1,2024-02-09 15:45:00,2024-02-09 15:45:00,False
MASS0940,DISPENSADOR DE AGUA DE MESA RECARGABLE,9.0,3,2024-05-10 08:35:00,2026-07-10 10:31:00,False
MASS1317,AUDIFONO GAMER PC PS4 PS3 AZUL CON BLANCO,9.0,3,2024-01-06 08:31:00,2024-02-10 08:38:00,False
MASS0462,REPISA TV VIDRIO Q-08,8.0,4,2025-02-28 13:01:00,2025-09-03 13:53:00,False
MASS1260,TAZA DE CERAMICA CAFE TE CALENTADORA CONEXION USB ROJO,8.0,6,2024-09-30 14:53:00,2025-06-09 09:12:00,False
MASS0003,ADAPTADOR MINI BLUETOOH USB 2.0 DONGLE,8.0,7,2024-10-29 11:44:00,2026-05-30 08:33:00,False
MASS0991,RELOJ INTELIGENTE D20 ULTRA NARANJA,7.0,2,2024-07-26 12:11:00,2024-08-28 09:27:00,False
MASS0941,AUDIFONO GAMER X15,7.0,6,2024-12-13 15:51:00,2025-05-26 11:35:00,False
MASS0773,VENDA ELASTICA AUTOHADESIVA FUCSIA,7.0,2,2024-08-07 11:17:00,2024-11-01 11:16:00,False
