sku,nombre,total_unidades_vendidas,total_transacciones,primera_venta,ultima_venta,excluido_intencional
MASS0101,CABLE HDMI BOLSA 5MTS,2.0,1,2024-12-14 13:28:00,2024-12-14 13:28:00,False
MASS1486,LAPTOP I5 11VA GENERACION,2.0,2,2025-01-20 08:27:00,2025-07-09 09:28:00,False
MASS0226,FAN COOLER EXTRACTOR ACRILICO 8CM,2.0,1,2025-02-27 07:27:00,2025-02-27 07:27:00,False
MASS0294,MEMORIA SD KINGSTON 32GB,2.0,1,2024-11-15 09:45:00,2024-11-15 09:45:00,False
MASS0146,CONECTOR DC HEMBRA,2.0,1,2024-11-06 13:34:00,2024-11-06 13:34:00,False
MASS0510,SILBATO DE ENTRENAMIENTO,2.0,2,2025-05-02 07:29:00,2025-06-03 16:39:00,False
MASS0302,MEMORIA RAM LAPTOP KINGSTON DDR4 4GB 2400,2.0,2,2024-10-09 09:13:00,2025-01-06 08:17:00,False
MASS0410,REGADERA CON BLUETOOH ATOMI,2.0,4,2024-12-04 13:49:00,2025-05-02 14:15:00,False
MASS0473,ROUTER INALAMBRICO TP LINK TL-WR940N,2.0,6,2024-12-17 12:26:00,2024-12-17 14:06:00,False
MASS0308,MEMORIA RAM PC KINGSTON DDR4 8GB 2666,2.0,3,2024-11-06 15:10:00,2024-11-09 09:04:00,False
MASS0989,RELOJ INTELIGENTE D20 ULTRA BLANCO,2.0,1,2024-08-28 09:27:00,2024-08-28 09:27:00,False
MASS0444,RELOJ INTELIGENTE T500 + PLUS BLANCO,2.0,1,2024-12-13 15:51:00,2024-12-13 15:51:00,False
MASS0548,TEMPORIZADOR DIGITAL PROGRAMABLE,2.0,2,2024-12-03 19:44:00,2024-12-16 08:55:00,False
MASS0430,RELOJ INTELIGENTE M26+ AZUL,2.0,1,2025-02-15 09:15:00,2025-02-15 09:15:00,False
MASS0471,ROUTER TP LINK AC750 DUAL BAND ARCHER C20 W,2.0,4,2024-12-17 12:26:00,2025-06-27 07:53:00,False
MASS0558,TESTER DIGITAL DT9205A,2.0,4,2026-06-01 14:05:00,2026-06-12 11:23:00,False
MASS0431,RELOJ INTELIGENTE M26+ ROJO,2.0,1,2024-12-16 17:14:00,2024-12-16 17:14:00,False
MASS1052,PLUG ANAL COLA CONEJITA GRIS ANALBALL001,2.0,1,2024-12-19 06:36:00,2024-12-19 06:36:00,False
MASS0860,LAMPARA LED EMPOTRABLE REDONDO 12W,2.0,1,2025-10-23 09:53:00,2025-10-23 09:53:00,False
MASS0909,VASO SILICONE 500 ML DE ESPIRAL ENCOJIBLE NEGRO,2.0,2,2025-03-10 02:32:00,2025-04-10 08:47:00,False
MASS0120,CARGADOR DE RELOJ MI BAND,2.0,2,2024-10-10 13:57:00,2025-02-19 06:29:00,False
MASS1144,RELOJ INTELIGENTE T200 PLUS SERIE 7 VERDE,2.0,1,2025-02-15 09:15:00,2025-02-15 09:15:00,False
MASS1630,MINI CPU CORE I3 6TA 8GB RAM 128GB SSD,1.0,1,2024-07-19 13:06:00,2024-07-19 13:06:00,False
MASS1106,JUEGO DE LLAVES HYPERTOUGH 11 PIEZAS,1.0,1,2025-05-31 09:32:00,2025-05-31 09:32:00,False
MASS2692,TERMO CAROTE ROSADO SIN PITILLO 24OZ A13066,1.0,1,2026-07-07 11:33:00,2026-07-07 11:33:00,False
MASS1690,MINI BALA VIBRADORA AZUL,1.0,1,2025-06-17 10:32:00,2025-06-17 10:32:00,False
MASS0977,MOUSE PAD DE CUERO ROJO,1.0,1,2024-11-21 14:33:00,2024-11-21 14:33:00,False
MASS1122,LAPIZ INFINITO GRIS,1.0,1,2025-05-23 08:59:00,2025-05-23 08:59:00,False
MASS1121,SARTEN HIERRO FUNDIDO MAINSTAYS,1.0,1,2025-06-30 08:58:00,2025-06-30 08:58:00,False
MASS1197,PLUG ANAL TALLA L VERDE CLARO,1.0,1,2025-03-27 08:28:00,2025-03-27 08:28:00,False
MASS1145,RELOJ INTELIGENTE T200 PLUS SERIE 7 BLANCO,1.0,1,2025-02-15 09:15:00,2025-02-15 09:15:00,False
MASS0898,SET DE OLLAS MAINSTAYS 52 PCS,1.0,1,2025-03-17 09:23:00,2025-03-17 09:23:00,False
MASS1001,ARO LED 12,1.0,3,2024-11-06 15:10:00,2024-11-09 09:04:00,False
MASS1252,LICUADORA MAINSTAYS,1.0,1,2025-01-18 09:06:00,2025-01-18 09:06:00,False
MASS1248,CORNETA JBL PORTATIL MODEL 113 VERDE,1.0,1,2026-06-16 07:58:00,2026-06-16 07:58:00,False
MASS1277,AURICULAR PARA RADIO BAOFENG,1.0,1,2025-09-15 21:27:00,2025-09-15 21:27:00,False
MASS0901,MAQUINA DE PIEDRAS PARA EL CABELLO,1.0,1,2024-11-12 13:16:00,2024-11-12 13:16:00,False
MASS0923,FUNDA SUMERGIBLE DE CELULAR VERDE,1.0,1,2024-08-05 14:21:00,2024-08-05 14:21:00,False
MASS0922,FUNDA SUMERGIBLE DE CELULAR AZUL,1.0,1,2024-08-05 14:21:00,2024-08-05 14:21:00,False
MASS0924,FUNDA SUMERGIBLE DE CELULAR MORADO,1.0,1,2025-01-07 12:12:00,2025-01-07 12:12:00,False
MASS1218,"KIT HELADERA DE SILICON (100PALETA, 100 BOLSA, CEPILLO, EMBUDO) TURQUESA",1.0,1,2024-12-13 13:56:00,2024-12-13 13:56:00,False
MASS1123,LAPIZ INFINITO NEGRO,1.0,1,2025-03-03 09:29:00,2025-03-03 09:29:00,False
MASS0689,ARNE INFERIOR SEXY ZCPK01,1.0,1,2025-11-10 14:03:00,2025-11-10 14:03:00,False
MASS0845,ADAPTADOR DISCO DURO SATA 12.7 MM PARA LAPTOP CADY,1.0,3,2025-11-11 08:53:00,2025-11-11 12:17:00,False
MASS0636,LAMPARA MAPA MUNDI VISUALIZACION 3D,1.0,3,2024-11-13 10:10:00,2024-11-13 13:29:00,False
MASS0620,DUCHA PORTATIL 20LTS,1.0,1,2025-03-05 12:42:00,2025-03-05 12:42:00,False
MASS1350,INACTIVO,1.0,1,2025-01-03 09:30:00,2025-01-03 09:30:00,False
MASS0734,LENCERIA 6607,1.0,1,2025-12-26 13:00:00,2025-12-26 13:00:00,False
MASS0729,TRANSMISOR DE CARRO BLUETOOTH M9,1.0,1,2025-04-25 08:32:00,2025-04-25 08:32:00,False
MASS0458,RELOJ INTELIGENTE T500 PLUS ROSADO,1.0,1,2025-02-15 09:15:00,2025-02-15 09:15:00,False
MASS0455,RELOJ INTELIGENTE X8 MAX ROJO,1.0,1,2024-12-16 17:14:00,2024-12-16 17:14:00,False
MASS0451,RELOJ INTELIGENTE X8 MAX NEGRO,1.0,1,2025-02-28 11:09:00,2025-02-28 11:09:00,False
