unique_id,paso_horizonte,demanda_proyectada,p10_pesimista,p90_optimista,modelo
MASS0009,4,0.0006744563579559326,0.0,0.007631421089172363,TimesFM-3.0-PyTorch
MASS0009,5,0.001369565725326538,0.0,0.00697365403175354,TimesFM-3.0-PyTorch
MASS0009,6,0.0008489489555358887,0.0,0.006338357925415039,TimesFM-3.0-PyTorch
MASS0009,7,0.0007429718971252441,0.0,0.005186557769775391,TimesFM-3.0-PyTorch
MASS0009,8,0.0,0.0,0.004262059926986694,TimesFM-3.0-PyTorch
MASS0009,9,0.0001551210880279541,0.0,0.00713956356048584,TimesFM-3.0-PyTorch
MASS0009,10,0.0,0.0,0.006204277276992798,TimesFM-3.0-PyTorch
MASS0009,11,0.0,0.0,0.003821432590484619,TimesFM-3.0-PyTorch
MASS0009,12,0.0,0.0,0.003343045711517334,TimesFM-3.0-PyTorch
MASS0009,13,0.0,0.0,0.005468934774398804,TimesFM-3.0-PyTorch
MASS0009,14,0.0,0.0,0.0027463436126708984,TimesFM-3.0-PyTorch
MASS0009,15,0.0012068450450897217,0.0,0.005606144666671753,TimesFM-3.0-PyTorch
MASS0010,1,0.0006998702883720398,0.0,0.002061709761619568,TimesFM-3.0-PyTorch
MASS0010,2,0.00030171871185302734,0.0,0.001337483525276184,TimesFM-3.0-PyTorch
MASS0010,3,0.0002734959125518799,0.0,0.0011006519198417664,TimesFM-3.0-PyTorch
MASS0010,4,0.0008184388279914856,0.0,0.0016172826290130615,TimesFM-3.0-PyTorch
MASS0010,5,0.00031092017889022827,0.0,0.0015578195452690125,TimesFM-3.0-PyTorch
MASS0010,6,0.0006448179483413696,0.0,0.0017253831028938293,TimesFM-3.0-PyTorch
MASS0010,7,0.0007041692733764648,2.2195279598236084e-05,0.0018124356865882874,TimesFM-3.0-PyTorch
MASS0010,8,0.00011319667100906372,0.0,0.0012460723519325256,TimesFM-3.0-PyTorch
MASS0010,9,0.00020506978034973145,0.0,0.0013936758041381836,TimesFM-3.0-PyTorch
MASS0010,10,0.00042857974767684937,0.0,0.0019656047224998474,TimesFM-3.0-PyTorch
MASS0010,11,0.00014923512935638428,0.0,0.0011944100260734558,TimesFM-3.0-PyTorch
MASS0010,12,0.0005064159631729126,0.0,0.001354217529296875,TimesFM-3.0-PyTorch
MASS0010,13,0.0005020946264266968,0.0,0.0012816786766052246,TimesFM-3.0-PyTorch
MASS0010,14,0.00031273066997528076,0.0,0.00086965411901474,TimesFM-3.0-PyTorch
MASS0010,15,0.0012415945529937744,0.0,0.0018247812986373901,TimesFM-3.0-PyTorch
MASS0011,1,0.0,0.0,0.0,TimesFM-3.0-PyTorch
MASS0011,2,0.0,0.0,0.0,TimesFM-3.0-PyTorch
MASS0011,3,0.0,0.0,0.0,TimesFM-3.0-PyTorch
MASS0011,4,0.0,0.0,0.0,TimesFM-3.0-PyTorch
MASS0011,5,0.0,0.0,0.0,TimesFM-3.0-PyTorch
MASS0011,6,0.0,0.0,0.0003458373248577118,TimesFM-3.0-PyTorch
MASS0011,7,0.0,0.0,0.00012421980500221252,TimesFM-3.0-PyTorch
MASS0011,8,0.0,0.0,0.00011092051863670349,TimesFM-3.0-PyTorch
MASS0011,9,0.0,0.0,3.3490359783172607e-06,TimesFM-3.0-PyTorch
MASS0011,10,0.0,0.0,0.0005978867411613464,TimesFM-3.0-PyTorch
MASS0011,11,0.0,0.0,0.00037421658635139465,TimesFM-3.0-PyTorch
MASS0011,12,0.0,0.0,0.00041467323899269104,TimesFM-3.0-PyTorch
MASS0011,13,0.0,0.0,0.000567123293876648,TimesFM-3.0-PyTorch
MASS0011,14,0.0,0.0,0.0002881363034248352,TimesFM-3.0-PyTorch
MASS0011,15,0.0,0.0,0.0007856264710426331,TimesFM-3.0-PyTorch
MASS0012,1,1.0035932064056396e-05,0.0,0.0012801848351955414,TimesFM-3.0-PyTorch
MASS0012,2,0.0,0.0,0.0007381252944469452,TimesFM-3.0-PyTorch
MASS0012,3,0.0,0.0,0.000440157949924469,TimesFM-3.0-PyTorch
MASS0012,4,0.00023608282208442688,0.0,0.000750761479139328,TimesFM-3.0-PyTorch
MASS0012,5,0.0,0.0,0.0006536580622196198,TimesFM-3.0-PyTorch
MASS0012,6,4.369765520095825e-06,0.0,0.0007348060607910156,TimesFM-3.0-PyTorch
MASS0012,7,0.00018392875790596008,0.0,0.001063864678144455,TimesFM-3.0-PyTorch
MASS0012,8,0.0,0.0,0.0004997774958610535,TimesFM-3.0-PyTorch
MASS0012,9,3.0972063541412354e-05,0.0,0.0007043741643428802,TimesFM-3.0-PyTorch
MASS0012,10,0.00012031197547912598,0.0,0.001140747219324112,TimesFM-3.0-PyTorch
MASS0012,11,0.0,0.0,0.000616658478975296,TimesFM-3.0-PyTorch
MASS0012,12,1.5906989574432373e-06,0.0,0.0007804520428180695,TimesFM-3.0-PyTorch
MASS0012,13,0.0003641955554485321,0.0,0.001140538603067398,TimesFM-3.0-PyTorch
MASS0012,14,0.0,0.0,0.00043427199125289917,TimesFM-3.0-PyTorch
MASS0012,15,0.0004432946443557739,0.0,0.0012009628117084503,TimesFM-3.0-PyTorch
MASS0013,1,0.03197979927062988,0.0,0.6314809322357178,TimesFM-3.0-PyTorch
