sku,demanda_semanal_prom,demanda_semanal_std,cv,n_semanas_historial,total_ventas,total_unidades,costo_unit_trans_prom,stock_actual,costo,cantidad_por_caja,CBMM,costo_final,clase_abc,clase_xyz,clase_abc_xyz,nivel_servicio,cbm_unitario,costo_flete_unitario,costo_puesto,demanda_anual,demanda_esperada_lt,rop,stock_seguridad,eoq_teorico,cajas_a_pedir,unidades_a_pedir,cbm_total_pedido,inversion_fob_usd,posicion_inventario,requiere_pedido,estado,porcentaje_contenedor
MASS0721,7.105633802816901,8.06332010748232,1.134778449219514,142,3096.21,1009.0,0.0,0.0,,1.0,0.05,1.0,A,Z,A-Z,0.9,0.05,4.25,5.25,369.49295774647885,106.58450704225352,146.6062147937867,40.021707751533185,216.60965044572586,217,217,10.850000000000001,217.0,0.0,True,REORDENAR,15.955882352941178
MASS0238,7.28169014084507,18.56381219912277,2.5493823329549645,142,3869.35,1034.0,1.7748805460750852,0.0,1.6,1.0,0.05,1.6,A,Z,A-Z,0.9,0.05,4.25,5.85,378.6478873239436,109.22535211267605,201.3654949675053,92.14014285482925,207.72760141635732,208,208,10.4,332.8,0.0,True,REORDENAR,15.294117647058824
MASS0247,7.880281690140845,23.576187768749254,2.991795051977117,142,4832.72,1119.0,2.288151260504202,0.0,,1.0,0.05,2.288151260504202,A,Z,A-Z,0.9,0.05,4.25,6.538151260504202,409.77464788732397,118.20422535211267,235.22293280744273,117.01870745533006,204.40872600999148,205,205,10.25,469.07100840336136,0.0,True,REORDENAR,15.073529411764705
MASS1745,7.21830985915493,20.506742083569243,2.840934025235934,142,5875.04,1025.0,2.0180794701986757,15.0,1.8,1.0,0.05,1.8,A,Z,A-Z,0.9,0.05,4.25,6.05,375.3521126760564,108.27464788732395,210.0583830813536,101.78373519402966,203.3743207596992,204,204,10.200000000000001,367.2,15.0,True,REORDENAR,15.000000000000002
MASS1746,6.830985915492958,19.930009387814692,2.917589003164625,142,5713.25,970.0,2.0223487544483985,86.0,1.8,1.0,0.05,1.8,A,Z,A-Z,0.9,0.05,4.25,6.05,355.2112676056338,102.46478873239437,201.38595279039484,98.92116405800047,197.84270893112242,198,198,9.9,356.40000000000003,86.0,True,REORDENAR,14.558823529411766
MASS0616,7.359154929577465,14.679237785928349,1.9946906847864359,142,8373.68,1045.0,2.6264732142857143,64.0,,1.0,0.05,2.6264732142857143,AA,Z,AA-Z,0.95,0.05,4.25,6.876473214285714,382.67605633802816,110.38732394366197,203.90127180266052,93.51394785899855,192.6136838699903,193,193,9.65,506.9093303571429,64.0,True,REORDENAR,14.191176470588236
MASS1224,7.0,43.06765253685718,6.1525217909795975,142,3713.62,994.0,2.276923076923077,14.0,,1.0,0.05,2.276923076923077,A,Z,A-Z,0.9,0.05,4.25,6.526923076923077,364.0,105.0,318.7631869253499,213.76318692534988,192.81943907003836,193,193,9.65,439.44615384615383,14.0,True,REORDENAR,14.191176470588236
MASS0795,7.246478873239437,16.397624209388272,2.2628402699058645,142,4114.97,1029.0,2.647433628318584,0.0,,1.0,0.05,2.647433628318584,A,Z,A-Z,0.9,0.05,4.25,6.897433628318584,376.81690140845075,108.69718309859155,190.08560811208304,81.38842501349149,190.8428055499269,191,191,9.55,505.65982300884957,0.0,True,REORDENAR,14.044117647058824
MASS1352,5.471830985915493,25.009982024764295,4.5706788256326,142,1480.68,777.0,1.0238582677165355,0.0,,1.0,0.05,1.0238582677165355,B,Z,B-Z,0.85,0.05,4.25,5.273858267716536,284.53521126760563,82.0774647887324,182.4697649511703,100.3923001624379,189.65231679333104,190,190,9.5,194.53307086614174,0.0,True,REORDENAR,13.970588235294118
MASS0822,5.97887323943662,10.798258534314167,1.8060691541491303,142,4141.16,849.0,2.1952922077922077,75.0,1.5,1.0,0.05,1.5,A,Z,A-Z,0.9,0.05,4.25,5.75,310.90140845070425,89.6830985915493,143.27947595535946,53.59637736381016,189.85926395682299,190,190,9.5,285.0,75.0,True,REORDENAR,13.970588235294118
MASS1747,6.070422535211268,19.62436171878829,3.232783484997607,142,4518.85,862.0,2.1526341463414633,170.0,1.8,1.0,0.05,1.8,A,Z,A-Z,0.9,0.05,4.25,6.05,315.6619718309859,91.05633802816902,188.4604419271215,97.40410389895248,186.5038561425246,187,187,9.35,336.6,170.0,True,REORDENAR,13.749999999999998
MASS1413,5.338028169014085,21.177362235689607,3.9672631101159945,142,1582.6699999999998,758.0,1.32625,0.0,,1.0,0.05,1.32625,B,Z,B-Z,0.85,0.05,4.25,5.57625,277.5774647887324,80.07042253521128,165.07824477630163,85.00782224109035,182.16936932406108,183,183,9.15,242.70374999999999,0.0,True,REORDENAR,13.455882352941176
MASS0769,4.816901408450704,13.932267622708736,2.8923713485740357,142,1742.17,684.0,0.9372357723577236,0.0,,1.0,0.05,0.9372357723577236,B,Z,B-Z,0.85,0.05,4.25,5.187235772357724,250.4788732394366,72.25352112676056,128.1788869162057,55.92536578944514,179.42044392186895,180,180,9.0,168.70243902439026,0.0,True,REORDENAR,13.23529411764706
MASS1421,4.584507042253521,16.165036676363496,3.52601414446024,142,1050.5,651.0,1.09,0.0,,1.0,0.05,1.09,B,Z,B-Z,0.85,0.05,4.25,5.34,238.3943661971831,68.76760563380282,133.6555056948024,64.88790006099958,172.51693585906324,173,173,8.65,188.57000000000002,0.0,True,REORDENAR,12.720588235294116
MASS1792,4.457746478873239,9.665778809387726,2.168310570194403,142,2290.77,633.0,1.375593220338983,0.0,,1.0,0.05,1.375593220338983,A,Z,A-Z,0.9,0.05,4.25,5.625593220338983,231.80281690140842,66.86619718309859,114.84159311725116,47.97539593415257,165.74085018482785,166,166,8.3,228.34847457627117,0.0,True,REORDENAR,12.205882352941178
MASS0167,8.52112676056338,17.79621376173374,2.088481284434869,142,13908.16,1210.0,6.256435643564356,140.0,6.5,1.0,0.05,6.5,AA,Z,AA-Z,0.95,0.05,4.25,10.75,443.09859154929575,127.8169014084507,241.18751574632003,113.37061433786933,165.76785702198646,166,166,8.3,1079.0,140.0,True,REORDENAR,12.205882352941178
