Codigo Articulo,cuadrante,clase_abc,nivel_servicio,stock_actual,rop,demanda_esperada_lt,ss_empirico,mu_incondicional,mu_sba,adi,cv2,n_pos,n_semanas_historia,weeks_history,cajas_a_pedir,unidades_a_pedir,cbm_total_pedido,inversion_fob_usd,costo_final,cantidad_por_caja,CBMM,estado,requiere_pedido
MASS2535,sin_datos,C,0.85,0.0,1.3499999999999999,1.3499999999999999,0.0,,0.09,20.0,,1,20,19.428571428571427,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS0373,sin_datos,C,0.85,0.0,0.0,0.0,0.0,,0.0,inf,,0,138,137.42857142857142,1,200,0.05,262.0,1.31,200.0,0.05,REORDENAR,True
MASS1460,sin_datos,C,0.85,0.0,0.0,0.0,0.0,,0.0,inf,,0,139,138.14285714285714,1,200,0.04536,104.0,0.52,200.0,0.04536,REORDENAR,True
MASS1529,sin_datos,C,0.85,0.0,0.0,0.0,0.0,,0.0,inf,,0,125,123.85714285714286,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS2312,erratic,C,0.85,141.0,94.8286758914389,49.949999999999996,44.87867589143892,,3.3299999999999996,1.071,4.5473,28,30,29.571428571428573,0,0,0.0,0.0,0.15,300.0,0.023345,OK,False
MASS1259,lumpy,C,0.85,0.0,3.856034482758621,3.856034482758621,0.0,,0.2570689655172414,7.25,0.9451,4,29,28.714285714285715,1,40,0.04565356,108.0,2.7,40.0,0.04565356,REORDENAR,True
MASS0272,lumpy,C,0.85,0.0,1.073076923076923,1.073076923076923,0.0,,0.07153846153846154,13.0,0.6548,4,96,95.42857142857143,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS0844,intermittent,C,0.85,0.0,1.6802394034536892,1.6802394034536892,0.0,,0.11201596023024595,13.0,0.2993,4,98,96.85714285714286,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS0972,sin_datos,C,0.85,0.0,0.0,0.0,0.0,,0.0,inf,,0,120,119.42857142857143,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS0746,intermittent,C,0.85,1.0,2.966564685314685,2.966564685314685,0.0,,0.197770979020979,5.778,0.1302,9,117,115.85714285714286,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS2258,lumpy,C,0.85,0.0,3.5324999999999993,3.5324999999999993,0.0,,0.23549999999999996,3.077,0.512,13,40,39.285714285714285,1,100,0.036,145.0,1.45,100.0,0.036,REORDENAR,True
MASS2690,intermittent,C,0.85,128.0,0.0,0.0,0.0,,0.0,3.5,0.0473,2,7,6.142857142857143,0,0,0.0,0.0,1.0,1.0,0.05,OK,False
MASS0304,lumpy,C,0.85,1.0,0.25096153846153846,0.25096153846153846,0.0,,0.01673076923076923,26.0,0.5,2,93,92.57142857142857,0,0,0.0,0.0,1.0,1.0,0.05,OK,False
MASS2285,intermittent,C,0.85,0.0,2.4724218749999998,2.4724218749999998,0.0,,0.164828125,5.714,0.3958,7,40,39.285714285714285,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS2284,lumpy,C,0.85,34.0,1.125,1.125,0.0,,0.075,6.5,1.2397,6,39,38.714285714285715,0,0,0.0,0.0,4.55,50.0,0.031768,OK,False
MASS2013,sin_datos,C,0.85,0.0,0.0,0.0,0.0,,0.0,inf,,0,68,67.71428571428571,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS1572,sin_datos,C,0.85,0.0,0.0,0.0,0.0,,0.0,inf,,0,128,127.28571428571429,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS2534,sin_datos,C,0.85,0.0,1.3499999999999999,1.3499999999999999,0.0,,0.09,20.0,,1,20,19.428571428571427,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS2558,sin_datos,C,0.85,0.0,1.3499999999999999,1.3499999999999999,0.0,,0.09,20.0,,1,20,19.428571428571427,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS1279,sin_datos,C,0.85,0.0,0.0,0.0,0.0,,0.0,inf,,0,128,127.28571428571429,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS0970,sin_datos,C,0.85,0.0,0.0,0.0,0.0,,0.0,inf,,0,99,98.28571428571429,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS0987,sin_datos,C,0.85,0.0,0.0,0.0,0.0,,0.0,inf,,0,108,106.85714285714286,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS1940,intermittent,C,0.85,0.0,1.1695054945054941,1.1695054945054941,0.0,,0.07796703296703295,6.5,0.1981,8,71,70.28571428571429,1,100,0.0375,75.0,0.75,100.0,0.0375,REORDENAR,True
MASS1938,intermittent,C,0.85,0.0,0.4326923076923077,0.4326923076923077,0.0,,0.028846153846153848,10.4,0.0,5,71,70.28571428571429,1,100,0.0375,75.0,0.75,100.0,0.0375,REORDENAR,True
MASS1573,sin_datos,C,0.85,0.0,0.0,0.0,0.0,,0.0,inf,,0,128,126.85714285714286,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS1110,intermittent,C,0.85,0.0,0.7469551282051283,0.7469551282051283,0.0,,0.04979700854700855,13.0,0.0494,4,117,116.14285714285714,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS3029,lumpy,C,0.85,185.0,19.636363636363633,19.636363636363633,0.0,,1.3090909090909089,3.667,0.84,3,11,10.142857142857142,0,0,0.0,0.0,5.77,10.0,0.05,OK,False
MASS2527,sin_datos,C,0.85,0.0,1.3499999999999999,1.3499999999999999,0.0,,0.09,20.0,,1,20,19.428571428571427,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS3005,lumpy,C,0.85,187.0,11.25,11.25,0.0,,0.75,2.5,0.5799,2,5,4.571428571428571,0,0,0.0,0.0,4.74,10.0,0.05,OK,False
MASS0649,lumpy,C,0.85,0.0,0.0,0.0,0.0,,0.0,6.0,0.5,2,12,11.142857142857142,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS1609,intermittent,C,0.85,25.0,3.541280148423006,3.541280148423006,0.0,,0.23608534322820038,4.333,0.1113,12,125,123.85714285714286,0,0,0.0,0.0,0.35,400.0,0.05,OK,False
MASS2260,intermittent,C,0.85,0.0,2.544729488703924,2.544729488703924,0.0,,0.16964863258026158,3.077,0.4071,13,40,39.285714285714285,1,100,0.036,145.0,1.45,100.0,0.036,REORDENAR,True
MASS0712,sin_datos,C,0.85,0.0,0.0,0.0,0.0,,0.0,inf,,0,83,82.57142857142857,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS2444,intermittent,C,0.85,1.0,5.692945317282187,5.692945317282187,0.0,,0.37952968781881247,3.222,0.253,9,29,28.428571428571427,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS2594,lumpy,C,0.85,66.0,41.25,41.25,0.0,,2.75,2.0,0.6556,10,20,19.571428571428573,0,0,0.0,0.0,0.85,100.0,0.062868,OK,False
MASS0064,sin_datos,C,0.85,0.0,0.0,0.0,0.0,,0.0,inf,,0,129,128.42857142857142,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS0136,sin_datos,C,0.85,0.0,0.0,0.0,0.0,,0.0,inf,,0,119,118.14285714285714,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS2283,lumpy,C,0.85,35.0,3.4615384615384617,3.4615384615384617,0.0,,0.23076923076923078,7.8,1.25,5,39,38.714285714285715,0,0,0.0,0.0,4.55,50.0,0.031768,OK,False
MASS3050,lumpy,C,0.85,525.0,12.075,12.075,0.0,,0.8049999999999999,2.0,0.835,8,16,15.428571428571429,0,0,0.0,0.0,1.1,70.0,0.05,OK,False
MASS0245,intermittent,C,0.85,1.0,0.48076923076923084,0.48076923076923084,0.0,,0.032051282051282055,13.0,0.1481,4,98,97.42857142857143,0,0,0.0,0.0,1.0,1.0,0.05,OK,False
MASS2579,sin_datos,C,0.85,0.0,0.6749999999999999,0.6749999999999999,0.0,,0.045,20.0,,1,20,19.428571428571427,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS1317,sin_datos,C,0.85,0.0,0.0,0.0,0.0,,0.0,inf,,0,141,140.42857142857142,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS1114,intermittent,C,0.85,0.0,0.22692307692307692,0.22692307692307692,0.0,,0.015128205128205128,26.0,0.2222,2,124,122.85714285714286,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS2077,lumpy,C,0.85,8.0,4.553571428571428,4.553571428571428,0.0,,0.30357142857142855,3.818,1.4504,11,42,41.142857142857146,0,0,0.0,0.0,1.0,100.0,0.025,OK,False
MASS1154,lumpy,C,0.85,86.0,5.4375,5.4375,0.0,,0.3625,8.667,0.8562,6,125,123.85714285714286,0,0,0.0,0.0,1.0,1.0,0.05,OK,False
MASS3052,lumpy,C,0.85,530.0,26.531249999999996,26.531249999999996,0.0,,1.7687499999999998,1.455,0.5671,11,16,15.428571428571429,0,0,0.0,0.0,1.1,70.0,0.05,OK,False
MASS1495,sin_datos,C,0.85,0.0,0.0,0.0,0.0,,0.0,inf,,0,124,123.28571428571429,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS2450,intermittent,C,0.85,68.0,1.8900000000000001,1.8900000000000001,0.0,,0.126,4.667,0.432,6,28,27.714285714285715,0,0,0.0,0.0,1.0,1.0,0.05,OK,False
MASS1167,sin_datos,C,0.85,0.0,0.0,0.0,0.0,,0.0,inf,,0,141,140.28571428571428,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS2266,lumpy,C,0.85,0.0,5.357142857142856,5.357142857142856,0.0,,0.35714285714285704,3.231,1.8627,13,42,41.142857142857146,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS2547,sin_datos,C,0.85,0.0,1.3499999999999999,1.3499999999999999,0.0,,0.09,20.0,,1,20,19.428571428571427,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS3031,lumpy,C,0.85,307.0,3.921428571428571,3.921428571428571,0.0,,0.2614285714285714,4.667,1.2959,3,14,13.714285714285714,0,0,0.0,0.0,5.3,16.0,0.05,OK,False
MASS0471,sin_datos,C,0.85,0.0,0.0,0.0,0.0,,0.0,inf,,0,88,87.71428571428571,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS2729,lumpy,C,0.85,116.0,44.71874999999999,44.71874999999999,0.0,,2.9812499999999997,2.0,1.5022,2,4,3.4285714285714284,0,0,0.0,0.0,2.3,75.0,0.0594,OK,False
